GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
5ARCTIC6-G2-foyer,tn.esprit.spring.services.Etudiant,EtudiantService,35,0,0,0,8,0,6,0,6,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Universite,50,0,0,0,8,0,11,0,11,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Reservation.ReservationBuilder,47,0,0,0,1,0,7,0,7,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Chambre,58,12,0,0,7,3,11,2,11,2
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Foyer.FoyerBuilder,56,0,0,0,1,0,8,0,8,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Bloc,37,33,0,0,5,5,9,4,9,4
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Chambre.ChambreBuilder,57,0,0,0,1,0,8,0,8,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,TypeChambre,21,0,0,0,2,0,1,0,1,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Universite.UniversiteBuilder,46,0,0,0,1,0,7,0,7,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Reservation,60,0,0,0,9,0,11,0,11,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Etudiant,90,0,0,0,12,0,17,0,17,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Foyer,62,8,0,0,8,2,12,1,12,1
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Bloc.BlocBuilder,56,0,0,0,1,0,8,0,8,0
5ARCTIC6-G2-foyer,tn.esprit.spring.dao.entities,Etudiant.EtudiantBuilder,74,0,0,0,1,0,10,0,10,0
5ARCTIC6-G2-foyer,tn.esprit.spring.aop,FoyerAspect,36,0,0,0,11,0,5,0,5,0
5ARCTIC6-G2-foyer,tn.esprit.spring.config,SpringDocConfig,166,0,0,0,45,0,11,0,11,0
5ARCTIC6-G2-foyer,tn.esprit.spring.services.Chambre,ChambreService,437,0,46,0,75,0,37,0,13,0
5ARCTIC6-G2-foyer,tn.esprit.spring.services.Foyer,FoyerService,152,0,4,0,31,0,12,0,10,0
5ARCTIC6-G2-foyer,tn.esprit.spring.services.Reservation,ReservationService,331,0,18,0,67,0,22,0,12,0
5ARCTIC6-G2-foyer,tn.esprit.spring.Schedular,Schedular,3,0,0,0,1,0,1,0,1,0
5ARCTIC6-G2-foyer,tn.esprit.spring.Schedular,test,7,0,0,0,2,0,2,0,2,0
5ARCTIC6-G2-foyer,tn.esprit.spring.services.bloc,BlocService,18,153,2,10,5,33,2,12,0,8
5ARCTIC6-G2-foyer,tn.esprit.spring,FoyerApplication,8,0,0,0,3,0,2,0,2,0
5ARCTIC6-G2-foyer,tn.esprit.spring.RestControllers,EtudiantRestController,30,0,0,0,8,0,6,0,6,0
5ARCTIC6-G2-foyer,tn.esprit.spring.RestControllers,ChambreRestController,47,0,0,0,11,0,9,0,9,0
5ARCTIC6-G2-foyer,tn.esprit.spring.RestControllers,UniversiteRestController,30,0,0,0,8,0,6,0,6,0
5ARCTIC6-G2-foyer,tn.esprit.spring.RestControllers,BlocRestController,42,0,0,0,10,0,8,0,8,0
5ARCTIC6-G2-foyer,tn.esprit.spring.RestControllers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
5ARCTIC6-G2-foyer,tn.esprit.spring.RestControllers,FoyerRestController,47,0,0,0,11,0,9,0,9,0
5ARCTIC6-G2-foyer,tn.esprit.spring.services.Universite,UniversiteService,35,0,0,0,8,0,6,0,6,0
